time,eating,drinking,coughing,talking,throat_clearing,others
2024-09-05 21:30,1,0,0,6,3,17
2024-09-05 21:31,0,0,0,0,0,38
2024-09-05 21:32,0,0,0,1,2,27
2024-09-06 08:39,0,0,1,0,2,6
2024-09-06 08:41,1,1,2,1,6,15
2024-09-06 08:42,0,1,2,2,2,36
2024-09-06 08:43,2,1,1,1,0,37
2024-09-06 08:44,1,8,0,0,1,32
2024-09-06 08:45,2,4,0,2,1,33
2024-09-06 08:46,0,2,0,1,0,38
2024-09-06 08:47,0,0,0,0,0,2
2024-09-06 11:37,0,0,0,0,0,2
2024-09-06 11:38,0,0,3,0,5,0
2024-09-06 11:39,0,0,3,0,2,0
2024-09-06 11:40,5,0,1,0,4,0
2024-09-06 11:41,3,0,3,0,2,3
2024-09-06 11:42,4,0,0,0,0,0
2024-09-06 14:32,0,0,0,0,2,6
2024-09-06 14:33,0,0,0,0,5,38
2024-09-06 14:34,1,1,1,5,8,28
2024-09-06 14:35,0,1,2,1,1,20
2024-09-07 15:04,1,0,0,17,7,13
2024-09-07 15:05,0,0,0,2,1,6
2024-09-07 16:18,0,0,0,0,0,4
2024-09-07 16:27,0,0,0,0,0,17
2024-09-07 16:28,0,0,0,0,0,4
2024-09-07 16:35,0,0,0,0,0,10
2024-09-07 16:38,0,0,0,0,0,19
2024-09-07 16:40,0,0,0,0,0,12
2024-09-07 16:42,0,0,0,0,0,11
2024-09-07 16:45,0,0,0,0,0,21
2024-09-07 16:46,0,0,0,0,0,30
2024-09-07 16:47,0,0,0,0,0,11
2024-09-07 16:48,0,0,0,0,0,20
2024-09-07 16:49,0,0,0,0,0,16
2024-09-07 16:53,0,0,0,0,0,36
2024-09-07 16:54,0,0,0,0,0,44
2024-09-07 16:55,0,0,0,0,0,25
2024-09-07 16:56,0,0,0,0,0,24
2024-09-07 16:58,0,0,0,0,0,16
2024-09-07 17:00,0,0,0,0,0,4
2024-09-07 17:01,0,0,0,0,0,38
2024-09-07 17:10,0,0,0,0,0,5
2024-09-07 17:11,0,0,0,0,0,13
2024-09-07 17:13,0,0,0,0,0,2
2024-09-07 17:14,0,0,0,0,1,18
2024-09-07 17:15,1,0,1,0,0,28
2024-09-07 17:18,0,1,0,1,0,2
2024-09-07 17:19,3,8,0,4,9,18
2024-09-07 17:20,2,7,0,0,0,25
2024-09-07 17:21,0,0,1,0,0,10
2024-09-07 17:23,2,0,0,5,6,21
2024-09-07 17:24,1,2,0,5,1,33
2024-09-07 17:25,0,0,0,0,1,41
2024-09-07 17:26,1,0,0,3,1,13
2024-09-07 17:31,0,0,0,0,1,2
2024-09-07 17:32,0,1,1,1,4,19
2024-09-07 17:34,1,2,1,3,4,18
2024-09-07 17:35,3,3,0,4,1,31
2024-09-07 17:36,6,4,0,1,0,31
2024-09-07 17:37,8,12,0,1,1,20
2024-09-07 17:38,13,21,0,0,0,8
2024-09-07 17:39,6,22,0,1,0,13
2024-09-07 17:40,4,11,0,0,0,3
2024-09-07 17:41,1,1,0,0,0,1
2024-09-07 18:03,0,0,0,0,0,29
2024-09-07 18:04,0,0,0,0,1,27
2024-09-10 19:12,0,0,0,0,2,8
2024-09-10 19:23,0,0,0,3,1,13
2024-09-10 19:24,0,0,3,6,7,22
2024-09-10 19:25,0,1,0,1,0,35
2024-09-10 19:26,30,0,0,0,0,36
2024-09-10 19:27,30,0,0,0,0,36
2024-09-10 19:28,30,0,0,0,0,20
2024-09-10 19:29,30,0,0,1,0,32
2024-09-10 19:30,0,0,0,0,1,19
2024-09-10 19:31,0,0,0,0,1,15
2024-09-10 19:48,0,0,0,0,0,29
2024-09-10 19:49,0,0,0,0,0,30
2024-09-10 19:50,0,0,0,0,0,19
2024-09-10 19:51,0,0,0,0,0,38
2024-09-10 19:52,0,0,0,0,0,33
2024-09-10 19:53,0,0,0,0,1,3
2024-09-10 19:54,30,0,1,0,0,1
2024-09-10 19:55,2,0,0,1,0,22
2024-09-10 19:56,0,0,0,0,0,14
2024-09-10 19:57,0,0,0,0,0,23
2024-09-11 08:26,0,1,0,2,4,17
2024-09-11 08:27,0,0,0,0,0,3
2024-09-11 08:29,2,0,1,2,1,20
2024-09-11 08:30,0,0,0,0,0,5
2024-09-11 08:31,0,1,3,0,0,8
2024-09-11 08:32,1,0,0,0,0,3
2024-09-11 08:34,1,0,2,0,0,16
2024-09-12 14:40,1,0,3,0,0,18
2024-09-12 14:41,0,5,2,2,1,30
2024-09-12 14:42,3,4,0,2,1,12
2024-09-12 14:43,3,5,1,0,0,33
2024-09-12 14:44,4,1,2,0,3,31
2024-09-12 14:45,1,5,0,2,1,32
2024-09-12 14:46,3,1,5,0,1,32
2024-09-12 14:47,0,3,1,0,1,21
2024-09-12 15:19,1,4,0,1,2,22
2024-09-12 15:20,0,1,0,1,0,8
2024-09-12 15:21,2,6,3,0,4,26
2024-09-12 15:22,2,4,2,0,1,33
2024-09-12 15:23,0,3,1,1,2,21
2024-09-12 17:26,2,0,0,2,0,5
2024-09-12 17:27,7,5,0,5,2,16
2024-09-12 17:28,4,8,0,6,2,23
2024-09-12 17:29,1,6,0,4,3,27
2024-09-12 17:30,1,0,0,2,0,34
2024-09-12 17:31,3,3,1,1,1,27
2024-09-12 17:32,0,0,0,0,0,30
2024-09-12 17:33,0,0,0,0,0,27
2024-09-12 17:34,0,0,0,0,0,26
2024-09-12 17:35,1,1,0,0,0,22
2024-09-12 17:36,4,8,0,0,2,18
2024-09-12 17:37,0,1,0,0,0,5
2024-09-12 20:12,3,3,0,2,1,16
2024-09-12 20:13,5,3,0,4,2,5
2024-09-12 20:14,3,0,0,0,0,5
2024-09-14 00:14,0,0,1,0,0,13
2024-09-14 00:48,2,2,0,0,0,22
2024-09-14 00:49,2,1,0,1,1,38
2024-09-14 00:50,0,1,0,0,0,12
2024-09-14 01:57,1,2,0,1,1,28
2024-09-14 01:59,0,0,0,0,0,3
2024-09-14 02:00,1,6,0,0,0,28
2024-09-14 02:03,0,0,0,0,0,4
2024-09-14 02:04,3,5,0,2,1,30
2024-09-14 02:05,2,6,0,1,1,31
2024-09-14 02:06,3,2,0,0,1,34
2024-09-14 02:07,2,5,1,0,0,32
2024-09-14 02:08,0,1,0,0,0,39
2024-09-14 02:09,0,0,0,0,0,13
2024-09-14 02:24,0,0,0,0,0,12
2024-09-14 02:25,1,1,0,0,0,39
2024-09-14 02:26,0,4,0,0,1,37
2024-09-14 02:27,0,1,1,0,0,24
2024-09-14 02:28,0,1,1,0,1,38
2024-09-14 02:29,5,0,2,0,2,32
2024-09-14 02:30,5,3,0,1,1,31
2024-09-20 13:21,0,0,0,0,0,1
2024-09-20 13:22,0,0,0,0,0,9
2024-09-26 16:48,0,0,0,1,1,1
